Field	 Weight	 Level	 Norm	 dim(all)	 dim(plus)	 dim(minus)
1	2	(7+4i)	 65		1		1		0
1	2	(8+2i)	 68		1		0		1
1	2	(6+6i)	 72		1		1		0
1	2	(7+7i)	 98		1		1		0
1	2	(10)	 100		1		1		0
1	2	(9+5i)	 106		1		1		0
1	2	(11)	 121		1		1		0
1	2	(11+3i)	 130		2		2		0
1	2	(9+7i)	 130		1		1		0
1	2	(10+6i)	 136		2		0		2
1	2	(11+4i)	 137		1		0		1
1	2	(12)	 144		3		2		1
1	2	(12+i)	 145		1		0		1
1	2	(9+8i)	 145		2		0		2
1	2	(12+4i)	 160		2		1		1
1	2	(10+8i)	 164		1		1		0
1	2	(12+6i)	 180		1		0		1
1	2	(13+4i)	 185		1		0		1
1	2	(13+5i)	 194		2		2		0
1	2	(14)	 196		2		2		0
1	2	(10+10i) 200		3		3		0
1	2	(14+4i)	 212		2		2		0
1	2	(15)	 225		1		1		0
1	2	(13+8i)	 233		1		1		0
1	2	(11+11i) 242		2		2		0
1	2	(16+i)	 257		1		1		0
1	2	(16+2i)	 260		2		2		0
1	2	(14+8i)	 260		3		3		0
1	2	(16+3i)	 265		1		1		0
1	2	(16+4i)	 272		4		1		3
1	2	(15+7i)	 274		2		0		2
1	2	(14+9i)	 277		1		1		0
1	2	(12+12i) 288		5		3		2
1	2	(17)	 289		1		1		0
1	2	(17+i)	 290		5		1		4
1	2	(13+11i) 290		2		0		2
1	2	(15+9i)	 306		1		0		1
1	2	(17+5i)	 314		1		1		0
1	2	(16+8i)	 320		4		2		2
1	2	(18)	 324		1		1		0
1	2	(18+i)	 325		3		2		1
1	2	(17+6i)	 325		2		1		1
1	2	(15+10i) 325		3		2		1
1	2	(18+2i)	 328		3		2		1
1	2	(13+13i) 338		2		2		0
1	2	(18+4i)	 340		2		0		2
1	2	(14+12i) 340		3		1		2
1	2	(18+6i)	 360		4		2		2
1	2	(19)	 361		3		1		2
1	2	(19+i)	 362		2		1		1
1	2	(15+12i) 369		1		0		1
1	2	(17+9i)	 370		3		0		3
1	2	(16+11i) 377		4		3		1
1	2	(18+8i)	 388		4		4		0
1	2	(14+14i) 392		5		5		0
1	2	(15+13i) 394		1		0		1
1	2	(20)	 400		7		5		2
1	2	(19+7i)	 410		2		1		1
1	2	(17+11i) 410		2		2		0
1	2	(18+10i) 424		4		3		1
1	2	(19+8i)	 425		2		1		1
1	2	(17+12i) 433		2		0		2
1	2	(21)	 441		1		1		0
1	2	(19+9i)	 442		2		1		1
1	2	(18+11i) 445		2		0		2
1	2	(21+3i)	 450		2		1		1
1	2	(15+15i) 450		3		3		0
1	2	(16+14i) 452		1		0		1
1	2	(17+13i) 458		1		0		1
1	2	(21+5i)	 466		2		2		0
1	2	(18+12i) 468		1		0		1
1	2	(22)	 484		4		4		0
1	2	(17+14i) 485		2		2		0
1	2	(21+7i)	 490		2		2		0
1	2	(18+13i) 493		1		0		1
1	2	(20+10i) 500		3		2		1
